BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
385;9762;NO ENCIENDE NADA;FALLA DE FUENTE DE PODER, SE PROCEDIO A REVISAR EL FUSIBLE INTEGRADO EN LA TARJETA DE LA FUENTE, SE REEMPLAZO Y FUNCIONO CORRECTAMENTE.;EL EQUIPO NO ENCIENDE ABSOLUTAMNTE NADA,  NI EL LED INDICADOR DE STANDBY.;0
386;9763;codigo error F61;Se encontro el diodo zener d5102 abierto el codigo del zener es 27d, se lo reemplazo y el equipo salio funcionando.;El equipo al presionar la tecla power prendia incluso salia en ese ratito audio si estaba en funcion radio,todo esto en unos 5 segundos masomenos y se apagaba indicando el codigo de error F61.;0
387;9765;no expulsa caratula;"quitar tapa superior para tener acceso al motor que pliega y despliega
la carÃ¡tula. aplicarle voltaje al motor para que abra carÃ¡tula y poder retirarla. Checar todos los microswitches. en mi caso, el S902 (MENU), estaba activado lo que hacÃ­a inhibir";carÃ¡tula plegada y no obedece acciÃ³n de abrir ni con el control remoto.;0
388;9766;no se escucha, solo avienta corriente en exceso a las bocinas;"pude ver que era el circuito integrado lo remplace x uno original ya enciende pero no se escuchan las bocinas solo hay un exceso de corriente le cambie tambien el \""pre\"" pero no vi cambio alguno!";el estereo es un sony xplod de cassete no encendia solo le salia humo en la parte de atras,;0
389;9767;DaÃ±o en autoenfoque y botÃ³n disparador;"No vale comprar repuestos originales ya que por su diseÃ±o y mala calidad vuelven a presentar los mismos problemas. La Ãºnica soluciÃ³n real y definitiva que se ha publicado en la web la cree yo y la documentÃ© en mi blog:

http://focussonydsch.blogsp";DespuÃ©s de un corto uso, se rompe y salta el botÃ³n disparador. TambiÃ©n el mecanismo de autoenfoque (pre-enfoque), cuando el botÃ³n disparador se presiona a la mitad de su recorrido, deja de funcionar.;0
390;9768;Intenta Encender y se apaga;  Raramente se dan estas soluciones pero funciono bien asi, como el engrane tenia dientes muy juntos, la falta de un diente no le afecto a la operacion, ya que cuando el diente faltante llegaba a su turno, el diente inferior hacia contacto perfectamente c; Esta camara al intentar encender se apagaba despues de unos segundos, al revisar la operacion del equipo, se noto que el lente intentaba salir y se metia de inmediato y era cuando la camara se apagaba, se volvio a enceder y con cuidado se tomo el lente y;0
391;9769;DistorsiÃ³n de sonido;Una causa frecuente suele ser las resistencias: R23 y R25 (150 ohm) desvalorizadas, en los mÃ³dulos de salida (F-2721 y F-2722);Salida distorsionada en uno o ambos canales;0
392;9770;No enciende;Rebobinado de transformador ATT1015,pimario 110V,secundario 20V.Todas las funciones bien.;RevisiÃ³n de fuente stand by, por accidente conectado a 110V,primario abierto.Fusibles bien.;0
393;9771;encendido;si me pudieran ayudar se los agradeseria mucho gracias.;se calienta el ic mcz3001d nadamas se activa el relevador y prende 3 veces el led no llegan los 130v al flay,reguladores nuevos.gracias;0
394;9772;No enciende;CMABIE EL IC 600/MCZ3001DB Y LA Resistencia DEL MAS B R640/1K Y LOS DOS FET Q600 Y Q601;"FUENTE DE REGULACIÃ“N NO FUNCIONABA
VOLTAJES SOLO HASTA EL PRIMER FILTRO DE BODEGA";0
395;9773;problema sintonia;condensador C182 con fugas;no detiene la busqueda de la sintonia automatica;0
396;9775;no llena la pantalla en la parte de arriba;"
PRUEVAS,..  Se midiÃ³ voltaje de alimentaciÃ³n a los transistores de salida vertical, en el transistor 7465 en su colector media 13v negativos y en el colector del 7464 media 58v positivos. Seprovo los filtros y se encontrÃ³ el 2465 de 10mf a 160v seco";"Enciende pero en la parte superior no se alcanza a llenar, se ve una lÃ­nea brillante en medio y la imagen serrada en la parte superior, se apaga en un rato.
";0
397;9776;CHISPAS EN ZOCALO TRC;SE OBSERVO QUE LAS CHISPAS SE PRODUCIAN EN EL CONECTOR DEL CABLE DE FOCO EN EL ZOCALO DEL TRC.DENTRO DEL MISMO EN EL SALTO DE CHISPA QUE POSEE.SE MIDIO LA TENSION DE SCREEN DE LA SIGUIENTE FORMA: EN EL MOMENTO DEL ENCENDIDO Y ANTES DE QUE APAREZCA LA IMAG;SE ESCUCHA RUIDO A CHISPORROTEO EN ZOCALO DE TRC,Y RAYAS SOBRE LA IMAGEN, EN OCASIONES SE APAGA DANDO ERROR 11.;0
398;9777;queda en standby no arranca;era la memoria 24c08wp en corto;quedaba solo en standby no arrancaba componentes de fuente todos bien;0
399;9778;no selecciona la opcion picture y add aderase;despeues de cambiar los diodos 1n4148 d704- d705 - d706-y d707 , touch y revisar pistas cortadas , la solucion fue cambiar el microprocesador Z8622704psc-dfm004Z- 1480.;no seleciona las funciones picture y add aderase desde el control remoto ni del panel frontal .;0
400;9778;no selecciona picture y add aderase del panel frontal ni del control remoto;despues de cambiar los diodos d704- d705- d706-d707 y d708-cambiar los touch y revisar pistas cortadas  no se soluciona , la solucion fuecambiar el  microprocesador Z8622704psc-dfm-004z- 1480.;no seleciona picture y add aderase del panel frontal ni del control remoto, despues todas las funciones bien ,;0
401;9778;no selecciona picture del panel frontal ni del control remoto;microprocesador Z8622704psc-dfm-004Z -1480;no selecciona picture ni add aderase del panel frontal ni del control remoto, despues todas la funciones bien .despues de controlar y cambiar los diodos d 704 d 705 d 706 y d 707 y cambiando los touch y revisando pistas cortadas no se soluciona .;0
402;9779;no enciende;"se encontro la resistencia R805 (68K) alterada media 256k se cambio y se soluciono el problema
";al enchufar a la linea de CA se escucha un pequeÃ±o silvido, al revisar la fuente esta me dava 150v, deve de generar 103v.;0
403;9780;No prende; Se mide el +B y esta bien, antes se habia medido el horizontal y mide bien adentro del circuito.Se mide el voltaje de trasformador driver H y hay 12 voltios que es normal, pero pero lo extraÃ±o es que al dar power baja de 12V a 7V, se cambia el transisto;Se pulsa el power y el led se apaga como es normal indicando que el pulso esta bien pero no prende.;0
404;9781;No prende;se le cambio el fusible, el regulador, el zener(803),2 resistencias (R804,R801) y el diodo (D 804, y se soluciono el problema;no daba stanby ni nada un alto voltage en una tormenta lo daÃ±o, se abrio y el fusible quemado;0
405;9782;no se olle;"se ajusto los option byte
BYTE 0: 00  BYTE 1: 87 y se soluciono el problema";enciende seven todos los canales pero no se olle.  en pantalla marca que esta subiendo pero no se olle;0
406;9783;se olle pero no se ve;en la tarjeta del cinescopio, se encontro la resistencia R508 (220K) avierta, se cambio y se soluciono el problema;enciende, se escucha la programacion de los canales, pero se ve blanca la pantalla con lineas de retrazo.;0
407;9784;no enciende;se encontro la resistencia R821 (123K) abierta, se cambio y se soluciono el problema.;"se conecta a la linea de ac y el foco verde de stanby enciende.

no obedece al boton de power ni al control remoto.

se mide el voltaje de la fuente( la linea que alimenta al flybat) y este varia entre 125v y 138v.

en los pins 5 y 6 de la epr";0
408;9785;tiene 118ven colector del transistor Q401 (2335) y no arranca.;abierta la resistencia R410 de 100k.;no enciende.;0
409;9786;Arranca con ruidos;el incombeniente los ocaciona el capasitor C907 de 33uf/25v coloca uno de 47uf/25v.;arranca produciendo un fuerte chillido y crujido dentro del fly back. el +B se mide en +112v en lugar de +130v.;0
410;9787;no abre horizontal;"cambiar condensador ceramico  ubicado  cerca del yugo  
.47uf 250v"; tv tiene audio pero se ve una raya horizontal en la inmagen;0
411;9788;Pantalla amarilla;Se reemplazaron dos resistenciar de los transistores RGB;"Pantalla toda amarilla 
";0
412;9789;fly back chispeado; al chispearse el fly back la alta tension quemo D421 de 16 v;fly back pinchado, al cambiar arranca con bajo brillo como falto de contraste;0
413;9789;fly back chispeado; al chispearse el fly back la alta tension quemo D421 de 16 v;fly back pinchado, al cambiar arranca con bajo brillo como falto de contraste;0
414;9790;no enciende;cambiar el c515 es un electrolitico de16v 470mf este se seca poner uno de 105 grados y mismo valor;al conectarlo en ac se escucha sumbido revisamos fuente,hor,vert,fly etc y todo esta ok depues medimos los 5v enlos microinterruptores y los 12v en la r=629 pero estaban muy bajos midiendo solo 9v;0
415;9791;no enciende;"se encontro la salida horizontal D2627 en corto, antes de colocar otra se provo la fuente y esta tenia 250v en el +b que va al fly bat.

se encontro el optoacoplador en corto entre los pines 1 y 2 por lo que el transistor Q507 (C3198) se daÃ±o.

s";al conectar a la linea de AC se escucha un fuerte sumbido y no enciende.;0
416;9792;se cierra la pantalla;se encontro el IC451 (LA7837)con soldaduras frias, se resoldo y trabajo vien...... NOTA es un fallo muy frecuente en la mayoria de los tv panasonic;enciende y despues de un rato se cierra la pantalla (linea horizontal) le das un golpe y se abre lapantalla;0
417;9793;se ve mal;se encontro cerca del fly bat, en la linea de abl la R555 (100K) abierta se cambio y se soluciono el problema;enciende y parpadea, como si el vertical se pasara, en el centro de la imagen se ve una linea blanca, el resto de la imagen seve opaca, con falta de contraste;0
418;9794;no sintoniza;al checar el voltaje de 5.v vi que solo le llegaban 3.5 le cambie el regulador de 5v  es un LM7805 y la tv funciono perfectamente;el tv solo sintonizaba al principio del canal 47 para arriba despuesde 5 minutos  ya no sintonizaba nada pero el recuadro si sintonizaba bien;0
419;9795;se apaga;se cambio el diodo D601(1N4148)tenia fugas;enciende y se apaga,  avese en unos 2 minutos y aveses en media hora, no tiene tienpo definido;0
420;9796;Sin audio;"Se reemplazo el diodo que esta a la entrada de seÃ±al  del integrado de audio, el mismo estaba en corto. 
Ok.";No tenia audio ni en los canales ni en A/V;0
421;9796;Sin color;Se cambiaron los condensadores variables de los cristales de croma. Quedo OK;Sin Color en los canales ni en A/V;0
422;9796;Sin audio;"Se reemplazo el diodo que esta a la entrada de seÃ±al  del integrado de audio, el mismo estaba en corto. 
Ok.";No tenia audio ni en los canales ni en A/V;0
423;9797;Mala Linealidad.;Se cambio el C-2105;Esta tv presentaba mala linealidad y cerrada en la parte superior, y al calentarse el aparato se componia, por lo que se sospecho de los filtros del circuito de S.V.;0
424;9797;Al prenderla se apaga a los 3, 5 segundos.;Se cambio el IC 2100 de salida vertical.;Al parecer todo estaba bien, fuente, S.H. etc. Al medir continuidad de la pata 1 a tierra del circuito de S.V. marcaba continuidad a cero.;0
425;9798;no prende;"se cambio el filtro CX3416 100MF 25V en la seccion de la fuente.

NOTA este tipo de falla las presenta la mayoria de las fuentes que traen el regulador STR53041";al dar power se escucha que enciende y se apaga, el voltaje que alimenta al fly bat en stamby mide 132v al dar power baja a unos 70v y se apaga la tv;0
426;9799;pantalla blanca;cambiar flayback y solucionado;pantalla totalmente blanca;0
427;9800;no timbra;"no lo he podido solucionar
por eso me inscribi para saber la solucion
";"la falla de este telefono es la sigute 
*al hacer una llamada esta se hace correctamente

*pero al hacerle uno la llamada a este se escucha que timbrara una vez pero no suena el telefono y despues se cae la llamada
";0
428;9801;No carga y/o no enciende;Hay ua pequeÃ±a resistencia de montaje superficial entre el positivo de la bateria y la placa, esta resistencia actua como fusible y se abre.;El telefono no enciende y cuando se lo pone a cargar muestra que esta cargando pero no carga.;0
429;9802;Enciende y se apaga;en este caso el problema estÃ¡ en el panel lcd.para estar seguro de esto descarte todos los board(las targetas);"buenas tardes.
en este modelo de bravia presenta que un instante despues de encendido,aparece el logo de sony y no vuelve a dar imagen quedando con la pantalla negra (oscura)";0
430;9803;con sonido -sin imagen;"placa inverter. uno de los trafos esta abierto.
cambiar trafo o bien la placa.";funciona bien pero no tiene imagen;0
431;9803;con sonido -sin imagen;"placa inverter. uno de los trafos esta abierto.
cambiar trafo o bien la placa.";funciona bien pero no tiene imagen;0
432;9804;se suspende;CambiÃ© la fuente y probÃ© el micro concluyo que la frecuencia incorrecta proviene de la MB.;suspensiÃ³n en cualquier programa ejecutable.;0
433;9805;Se cuelga la PC;"El problema era el slot agp. Algunas placas Intel como esta traen una falla de fabrica que hace que la placa de video cuelgue la PC sin razon aparente. 
El problema se soluciona utilizando una placa PCI en vez de AGP.
";"Tengo una PC con mother intel D865PERL. Comenzo a fallar congelandose, en windows, en linux, y tan solo esperando en la bios. Intente cambiar el procesador, la memoria pero seguia con el mismo problema.
";0
434;9806;No prende;que solucion puede tener;Mi placa no funciona se prende el led pero no gira los ventiladores de la fuente ni el cooler del procesador que puede ser;0
435;9807;entrada de corriente;primero es checar si el eliminador funciona, utilizando un multimetro por lo regular debe de marcar 12v aprox.... si no es el eliminador nos enfocaremos en la tarjeta madre tal vez el plug este desoldado y tenga un falso contacto;no acepta la entrada de corriente solo trabaja con la bateria;0
436;9807;entrada de corriente;necesito ayuda;no acepta la entrada de corriente solo trabaja con la bateria;0
437;9809;No bootea;Tenia estatiac, pase papel brillante de la cajetilla de cigarros. Esta es efectiva para sacar estatica de dispositivos electronicos..;Enciende el PC, y no arranca;0
